Id,SeL,SeW,PeL,PeW,Species
67,1.83,2.1,2.95,2.9,Iris-versicolor
68,2.1,1.5,2.62,1.9,Iris-versicolor
69,2.63,0.5,2.95,2.9,Iris-versicolor
70,1.83,1.1,2.46,2.1,Iris-versicolor
71,2.23,2.5,3.19,3.5,Iris-versicolor
72,2.5,1.7,2.54,2.5,Iris-versicolor
73,2.77,1.1,3.27,2.9,Iris-versicolor
74,2.5,1.7,3.11,2.3,Iris-versicolor
75,2.9,1.9,2.78,2.5,Iris-versicolor
76,3.17,2.1,2.87,2.7,Iris-versicolor
77,3.43,1.7,3.19,2.7,Iris-versicolor
78,3.3,2.1,3.35,3.3,Iris-versicolor
79,2.37,1.9,2.95,2.9,Iris-versicolor
80,1.97,1.3,2.13,1.9,Iris-versicolor
81,1.7,0.9,2.38,2.1,Iris-versicolor
82,1.7,0.9,2.3,1.9,Iris-versicolor
83,2.1,1.5,2.46,2.3,Iris-versicolor
84,2.37,1.5,3.44,3.1,Iris-versicolor
85,1.57,2.1,2.95,2.9,Iris-versicolor
86,2.37,2.9,2.95,3.1,Iris-versicolor
87,3.3,2.3,3.11,2.9,Iris-versicolor
88,2.77,0.7,2.87,2.5,Iris-versicolor
89,1.83,2.1,2.62,2.5,Iris-versicolor
90,1.7,1.1,2.54,2.5,Iris-versicolor
91,1.7,1.3,2.87,2.3,Iris-versicolor
92,2.5,2.1,3.03,2.7,Iris-versicolor
93,2.1,1.3,2.54,2.3,Iris-versicolor
94,1.03,0.7,1.97,1.9,Iris-versicolor
95,1.83,1.5,2.7,2.5,Iris-versicolor
96,1.97,2.1,2.7,2.3,Iris-versicolor
97,1.97,1.9,2.7,2.5,Iris-versicolor
98,2.63,1.9,2.78,2.5,Iris-versicolor
99,1.17,1.1,1.73,2.1,Iris-versicolor
100,1.97,1.7,2.62,2.5,Iris-versicolor
101,2.77,2.7,4.17,4.9,Iris-virginica
102,2.1,1.5,3.44,3.7,Iris-virginica
103,3.83,2.1,4.09,4.1,Iris-virginica
104,2.77,1.9,3.84,3.5,Iris-virginica
105,3.03,2.1,4.01,4.3,Iris-virginica
106,4.5,2.1,4.66,4.1,Iris-virginica
107,0.9,1.1,2.95,3.3,Iris-virginica
108,4.1,1.9,4.41,3.5,Iris-virginica
109,3.3,1.1,4.01,3.5,Iris-virginica
110,3.97,3.3,4.25,4.9,Iris-virginica
111,3.03,2.5,3.44,3.9,Iris-virginica
112,2.9,1.5,3.6,3.7,Iris-virginica
113,3.43,2.1,3.76,4.1,Iris-virginica
114,1.97,1.1,3.35,3.9,Iris-virginica
115,2.1,1.7,3.44,4.7,Iris-virginica
116,2.9,2.5,3.6,4.5,Iris-virginica
117,3.03,2.1,3.76,3.5,Iris-virginica
118,4.63,3.7,4.74,4.3,Iris-virginica
119,4.63,1.3,4.9,4.5,Iris-virginica
120,2.37,0.5,3.35,2.9,Iris-virginica
121,3.57,2.5,3.92,4.5,Iris-virginica
122,1.83,1.7,3.27,3.9,Iris-virginica
123,4.63,1.7,4.74,3.9,Iris-virginica
124,2.77,1.5,3.27,3.5,Iris-virginica
125,3.3,2.7,3.92,4.1,Iris-virginica
126,3.97,2.5,4.17,3.5,Iris-virginica
127,2.63,1.7,3.19,3.5,Iris-virginica
128,2.5,2.1,3.27,3.5,Iris-virginica
129,2.9,1.7,3.84,4.1,Iris-virginica
130,3.97,2.1,4.01,3.1,Iris-virginica
131,4.23,1.7,4.25,3.7,Iris-virginica
132,4.9,3.7,4.49,3.9,Iris-virginica
133,2.9,1.7,3.84,4.3,Iris-virginica
134,2.77,1.7,3.44,2.9,Iris-virginica
135,2.5,1.3,3.84,2.7,Iris-virginica
136,4.63,2.1,4.25,4.5,Iris-virginica
137,2.77,2.9,3.84,4.7,Iris-virginica
138,2.9,2.3,3.76,3.5,Iris-virginica
139,2.37,2.1,3.19,3.5,Iris-virginica
140,3.57,2.3,3.68,4.1,Iris-virginica
141,3.3,2.3,3.84,4.7,Iris-virginica
142,3.57,2.3,3.44,4.5,Iris-virginica
143,2.1,1.5,3.44,3.7,Iris-virginica
144,3.43,2.5,4.09,4.5,Iris-virginica
145,3.3,2.7,3.92,4.9,Iris-virginica
146,3.3,2.1,3.52,4.5,Iris-virginica
147,2.77,1.1,3.35,3.7,Iris-virginica
148,3.03,2.1,3.52,3.9,Iris-virginica
149,2.63,2.9,3.68,4.5,Iris-virginica
150,2.23,2.1,3.44,3.5,Iris-virginica
