Id,SeL,SeW,PeL,PeW,Species
51,3.2,1.6,2.25,0.75,Iris-versicolor
52,3.45,1.55,2.45,0.75,Iris-versicolor
53,2.75,1.15,2,0.65,Iris-versicolor
54,3.25,1.4,2.3,0.75,Iris-versicolor
55,2.85,1.4,2.25,0.65,Iris-versicolor
56,3.15,1.65,2.35,0.8,Iris-versicolor
57,2.45,1.2,1.65,0.5,Iris-versicolor
58,3.3,1.45,2.3,0.65,Iris-versicolor
59,2.6,1.35,1.95,0.7,Iris-versicolor
60,2.5,1,1.75,0.5,Iris-versicolor
61,2.95,1.5,2.1,0.75,Iris-versicolor
62,3,1.1,2,0.5,Iris-versicolor
63,3.05,1.45,2.35,0.7,Iris-versicolor
64,2.8,1.45,1.8,0.65,Iris-versicolor
65,3.35,1.55,2.2,0.7,Iris-versicolor
66,2.8,1.5,2.25,0.75,Iris-versicolor
67,2.9,1.35,2.05,0.5,Iris-versicolor
68,3.1,1.1,2.25,0.75,Iris-versicolor
69,2.8,1.25,1.95,0.55,Iris-versicolor
70,2.95,1.6,2.4,0.9,Iris-versicolor
71,3.05,1.4,2,0.65,Iris-versicolor
72,3.15,1.25,2.45,0.75,Iris-versicolor
73,3.05,1.4,2.35,0.6,Iris-versicolor
74,3.2,1.45,2.15,0.65,Iris-versicolor
75,3.3,1.5,2.2,0.7,Iris-versicolor
76,3.4,1.4,2.4,0.7,Iris-versicolor
77,3.35,1.5,2.5,0.85,Iris-versicolor
78,3,1.45,2.25,0.75,Iris-versicolor
79,2.85,1.3,1.75,0.5,Iris-versicolor
80,2.75,1.2,1.9,0.55,Iris-versicolor
81,2.75,1.2,1.85,0.5,Iris-versicolor
82,2.9,1.35,1.95,0.6,Iris-versicolor
83,3,1.35,2.55,0.8,Iris-versicolor
84,2.7,1.5,2.25,0.75,Iris-versicolor
85,3,1.7,2.25,0.8,Iris-versicolor
86,3.35,1.55,2.35,0.75,Iris-versicolor
87,3.15,1.15,2.2,0.65,Iris-versicolor
88,2.8,1.5,2.05,0.65,Iris-versicolor
89,2.75,1.25,2,0.65,Iris-versicolor
90,2.75,1.3,2.2,0.6,Iris-versicolor
91,3.05,1.5,2.3,0.7,Iris-versicolor
92,2.9,1.3,2,0.6,Iris-versicolor
93,2.5,1.15,1.65,0.5,Iris-versicolor
94,2.8,1.35,2.1,0.65,Iris-versicolor
95,2.85,1.5,2.1,0.6,Iris-versicolor
96,2.85,1.45,2.1,0.65,Iris-versicolor
97,3.1,1.45,2.15,0.65,Iris-versicolor
98,2.55,1.25,1.5,0.55,Iris-versicolor
99,2.85,1.4,2.05,0.65,Iris-versicolor
100,3.15,1.65,3,1.25,Iris-virginica
101,2.9,1.35,2.55,0.95,Iris-virginica
102,3.55,1.5,2.95,1.05,Iris-virginica
103,3.15,1.45,2.8,0.9,Iris-virginica
104,3.25,1.5,2.9,1.1,Iris-virginica
105,3.8,1.5,3.3,1.05,Iris-virginica
106,2.45,1.25,2.25,0.85,Iris-virginica
107,3.65,1.45,3.15,0.9,Iris-virginica
108,3.35,1.25,2.9,0.9,Iris-virginica
109,3.6,1.8,3.05,1.25,Iris-virginica
110,3.25,1.6,2.55,1,Iris-virginica
111,3.2,1.35,2.65,0.95,Iris-virginica
112,3.4,1.5,2.75,1.05,Iris-virginica
113,2.85,1.25,2.5,1,Iris-virginica
114,2.9,1.4,2.55,1.2,Iris-virginica
115,3.2,1.6,2.65,1.15,Iris-virginica
116,3.25,1.5,2.75,0.9,Iris-virginica
117,3.85,1.9,3.35,1.1,Iris-virginica
118,3.85,1.3,3.45,1.15,Iris-virginica
119,3,1.1,2.5,0.75,Iris-virginica
120,3.45,1.6,2.85,1.15,Iris-virginica
121,2.8,1.4,2.45,1,Iris-virginica
122,3.85,1.4,3.35,1,Iris-virginica
123,3.15,1.35,2.45,0.9,Iris-virginica
124,3.35,1.65,2.85,1.05,Iris-virginica
125,3.6,1.6,3,0.9,Iris-virginica
126,3.1,1.4,2.4,0.9,Iris-virginica
127,3.05,1.5,2.45,0.9,Iris-virginica
128,3.2,1.4,2.8,1.05,Iris-virginica
129,3.6,1.5,2.9,0.8,Iris-virginica
130,3.7,1.4,3.05,0.95,Iris-virginica
131,3.95,1.9,3.2,1,Iris-virginica
132,3.2,1.4,2.8,1.1,Iris-virginica
133,3.15,1.4,2.55,0.75,Iris-virginica
134,3.05,1.3,2.8,0.7,Iris-virginica
135,3.85,1.5,3.05,1.15,Iris-virginica
136,3.15,1.7,2.8,1.2,Iris-virginica
137,3.2,1.55,2.75,0.9,Iris-virginica
138,3,1.5,2.4,0.9,Iris-virginica
139,3.45,1.55,2.7,1.05,Iris-virginica
140,3.35,1.55,2.8,1.2,Iris-virginica
141,3.45,1.55,2.55,1.15,Iris-virginica
142,2.9,1.35,2.55,0.95,Iris-virginica
143,3.4,1.6,2.95,1.15,Iris-virginica
144,3.35,1.65,2.85,1.25,Iris-virginica
145,3.35,1.5,2.6,1.15,Iris-virginica
146,3.15,1.25,2.5,0.95,Iris-virginica
147,3.25,1.5,2.6,1,Iris-virginica
148,3.1,1.7,2.7,1.15,Iris-virginica
149,2.95,1.5,2.55,0.9,Iris-virginica
