Id,A,B,C,Output
134,0.1,4.9,0.2,Out2
135,0.1,4.9,0.1,Out2
136,0.1,4.82,0.1,Out2
137,0.1,4.9,0.1,Out2
138,0.1,4.9,0.1,Out2
139,0.22,4.9,0.1,Out2
140,0.21,4.9,0.3,Out2
141,0.29,4.86,0.17,Out2
142,0.1,4.47,0.1,Out2
143,0.1,4.9,0.28,Out2
144,0.1,4.84,0.1,Out2
145,0.1,4.83,0.1,Out2
146,0.1,4.9,0.3,Out2
147,0.1,4.9,0.1,Out2
148,0.1,4.86,0.1,Out2
149,0.44,4.9,0.1,Out2
150,0.1,4.76,0.51,Out2
151,0.1,4.9,4.55,Out3
152,0.1,4.9,4.53,Out3
153,0.41,4.79,4.9,Out3
154,0.1,4.9,4.77,Out3
155,0.1,4.9,4.9,Out3
156,0.53,4.9,4.88,Out3
157,0.1,4.9,4.9,Out3
158,0.2,4.85,4.73,Out3
159,0.1,4.9,4.85,Out3
160,0.1,4.9,4.58,Out3
161,0.28,4.71,4.65,Out3
162,0.1,4.9,4.9,Out3
163,0.31,4.84,4.77,Out3
164,0.1,4.65,4.9,Out3
165,0.45,4.9,4.5,Out3
166,0.1,4.49,4.9,Out3
167,0.33,4.9,4.9,Out3
168,0.1,4.9,4.9,Out3
169,0.1,4.9,4.9,Out3
170,0.2,4.9,4.72,Out3
171,0.1,4.63,4.9,Out3
172,0.5,4.52,4.9,Out3
173,0.1,4.9,4.56,Out3
174,0.1,4.65,4.9,Out3
175,0.1,4.9,4.7,Out3
176,0.1,4.47,4.9,Out3
177,0.1,4.9,4.61,Out3
178,0.1,4.53,4.9,Out3
179,0.48,4.9,4.9,Out3
180,0.1,4.47,4.71,Out3
181,0.3,4.9,4.9,Out3
182,0.39,4.8,4.55,Out3
183,0.1,4.51,4.77,Out3
184,0.2,4.9,4.66,Out3
185,0.1,4.6,4.65,Out3
186,0.1,4.78,4.9,Out3
187,0.39,4.84,4.64,Out3
188,0.42,4.52,4.53,Out3
189,0.1,4.9,4.63,Out3
190,0.38,4.68,4.9,Out3
191,0.49,4.66,4.58,Out3
192,0.1,4.49,4.46,Out3
193,0.1,4.88,4.7,Out3
194,0.46,4.9,4.88,Out3
195,0.1,4.9,4.77,Out3
196,0.1,4.9,4.57,Out3
197,0.1,4.84,4.48,Out3
198,0.31,4.66,4.9,Out3
199,0.1,4.57,4.9,Out3
200,0.48,4.9,4.85,Out3
201,4.9,0.1,0.29,Out4
202,4.9,0.5,0.1,Out4
203,4.9,0.1,0.1,Out4
204,4.6,0.4,0.2,Out4
205,4.9,0.28,0.1,Out4
206,4.74,0.46,0.1,Out4
207,4.66,0.11,0.51,Out4
208,4.79,0.1,0.1,Out4
209,4.72,0.1,0.1,Out4
210,4.9,0.1,0.22,Out4
211,4.9,0.39,0.46,Out4
212,4.9,0.1,0.48,Out4
213,4.7,0.24,0.1,Out4
214,4.9,0.1,0.13,Out4
215,4.63,0.1,0.1,Out4
216,4.9,0.1,0.17,Out4
217,4.69,0.22,0.1,Out4
218,4.9,0.1,0.1,Out4
219,4.52,0.1,0.1,Out4
220,4.9,0.1,0.1,Out4
221,4.81,0.1,0.1,Out4
222,4.9,0.42,0.27,Out4
223,4.47,0.41,0.1,Out4
224,4.9,0.1,0.1,Out4
225,4.9,0.1,0.1,Out4
226,4.7,0.49,0.1,Out4
227,4.64,0.35,0.1,Out4
228,4.9,0.1,0.1,Out4
229,4.67,0.1,0.36,Out4
230,4.9,0.43,0.1,Out4
231,4.68,0.1,0.1,Out4
232,4.47,0.1,0.44,Out4
233,4.5,0.1,0.1,Out4
234,4.76,0.34,0.1,Out4
235,4.75,0.1,0.1,Out4
236,4.9,0.1,0.33,Out4
237,4.75,0.1,0.1,Out4
238,4.68,0.1,0.1,Out4
239,4.9,0.52,0.1,Out4
240,4.72,0.1,0.25,Out4
241,4.9,0.1,0.1,Out4
242,4.9,0.1,0.1,Out4
243,4.9,0.1,0.1,Out4
244,4.74,0.18,0.24,Out4
245,4.9,0.44,0.46,Out4
246,4.66,0.4,0.1,Out4
247,4.9,0.1,0.5,Out4
248,4.9,0.36,0.41,Out4
249,4.53,0.1,0.1,Out4
250,4.65,0.28,0.1,Out4
251,4.9,0.1,4.81,Out5
252,4.9,0.1,4.9,Out5
253,4.9,0.1,4.9,Out5
254,4.9,0.45,4.75,Out5
255,4.63,0.11,4.81,Out5
256,4.9,0.4,4.65,Out5
257,4.9,0.51,4.9,Out5
258,4.9,0.33,4.67,Out5
259,4.9,0.28,4.9,Out5
260,4.67,0.1,4.9,Out5
261,4.48,0.1,4.9,Out5
262,4.9,0.1,4.9,Out5
263,4.57,0.1,4.9,Out5
264,4.9,0.1,4.9,Out5
265,4.79,0.1,4.6,Out5
266,4.9,0.1,4.9,Out5
267,4.9,0.36,4.9,Out5
268,4.9,0.13,4.52,Out5
269,4.9,0.1,4.9,Out5
270,4.8,0.2,4.79,Out5
271,4.9,0.1,4.9,Out5
272,4.9,0.1,4.56,Out5
273,4.9,0.15,4.9,Out5
274,4.9,0.1,4.9,Out5
275,4.88,0.5,4.53,Out5
276,4.6,0.53,4.8,Out5
277,4.9,0.46,4.57,Out5
278,4.9,0.25,4.9,Out5
279,4.9,0.54,4.9,Out5
280,4.65,0.17,4.9,Out5
281,4.85,0.1,4.9,Out5
282,4.9,0.1,4.9,Out5
283,4.9,0.1,4.54,Out5
284,4.53,0.1,4.9,Out5
285,4.9,0.3,4.58,Out5
286,4.9,0.24,4.73,Out5
287,4.9,0.1,4.59,Out5
288,4.86,0.19,4.85,Out5
289,4.9,0.1,4.77,Out5
290,4.56,0.1,4.9,Out5
291,4.53,0.1,4.9,Out5
292,4.51,0.21,4.83,Out5
293,4.9,0.25,4.85,Out5
294,4.89,0.28,4.67,Out5
295,4.9,0.34,4.9,Out5
296,4.46,0.1,4.66,Out5
297,4.9,0.37,4.72,Out5
298,4.79,0.14,4.9,Out5
299,4.9,0.13,4.63,Out5
300,4.57,0.1,4.63,Out5
301,4.9,4.9,0.1,Out6
302,4.85,4.9,0.1,Out6
303,4.9,4.9,0.38,Out6
304,4.9,4.9,0.1,Out6
305,4.75,4.9,0.1,Out6
306,4.72,4.78,0.1,Out6
307,4.63,4.9,0.1,Out6
308,4.9,4.57,0.1,Out6
309,4.9,4.9,0.1,Out6
310,4.49,4.9,0.1,Out6
311,4.9,4.9,0.36,Out6
312,4.49,4.76,0.1,Out6
313,4.9,4.9,0.1,Out6
314,4.59,4.9,0.1,Out6
315,4.63,4.9,0.1,Out6
316,4.9,4.9,0.1,Out6
317,4.9,4.71,0.1,Out6
318,4.51,4.9,0.1,Out6
319,4.9,4.9,0.29,Out6
320,4.9,4.9,0.1,Out6
321,4.9,4.9,0.38,Out6
322,4.9,4.9,0.1,Out6
323,4.9,4.74,0.1,Out6
324,4.74,4.9,0.1,Out6
325,4.59,4.9,0.1,Out6
326,4.62,4.9,0.1,Out6
327,4.62,4.9,0.1,Out6
328,4.89,4.9,0.44,Out6
329,4.9,4.9,0.27,Out6
330,4.48,4.77,0.2,Out6
331,4.9,4.9,0.19,Out6
332,4.78,4.86,0.1,Out6
333,4.76,4.48,0.41,Out6
334,4.9,4.9,0.44,Out6
335,4.9,4.9,0.3,Out6
336,4.81,4.9,0.1,Out6
337,4.69,4.9,0.18,Out6
338,4.55,4.9,0.1,Out6
339,4.58,4.9,0.4,Out6
340,4.9,4.9,0.1,Out6
341,4.9,4.67,0.1,Out6
342,4.9,4.9,0.14,Out6
343,4.9,4.62,0.1,Out6
344,4.9,4.9,0.1,Out6
345,4.83,4.69,0.1,Out6
346,4.9,4.9,0.18,Out6
347,4.53,4.66,0.2,Out6
348,4.9,4.9,0.32,Out6
349,4.71,4.54,0.1,Out6
350,4.9,4.9,0.1,Out6
