Id,A,B,C,Output
56,0.010,0.010,0.961,Out1
57,0.078,0.061,0.990,Out1
58,0.010,0.010,0.990,Out1
59,0.010,0.010,0.911,Out1
60,0.029,0.010,0.990,Out1
61,0.054,0.032,0.990,Out1
62,0.054,0.021,0.908,Out1
63,0.010,0.078,0.978,Out1
64,0.010,0.010,0.926,Out1
65,0.010,0.038,0.990,Out1
66,0.080,0.089,0.934,Out1
67,0.010,0.034,0.927,Out1
68,0.010,0.010,0.990,Out1
69,0.076,0.081,0.990,Out1
70,0.010,0.041,0.970,Out1
71,0.040,0.010,0.946,Out1
72,0.075,0.034,0.990,Out1
73,0.010,0.028,0.930,Out1
74,0.066,0.010,0.990,Out1
75,0.073,0.010,0.990,Out1
76,0.010,0.010,0.990,Out1
77,0.010,0.065,0.990,Out1
78,0.082,0.010,0.990,Out1
79,0.010,0.092,0.990,Out1
80,0.067,0.010,0.912,Out1
81,0.067,0.010,0.990,Out1
82,0.010,0.029,0.990,Out1
83,0.010,0.079,0.990,Out1
84,0.010,0.010,0.961,Out1
85,0.010,0.010,0.990,Out1
86,0.010,0.010,0.990,Out1
87,0.055,0.068,0.921,Out1
88,0.095,0.032,0.974,Out1
89,0.014,0.048,0.990,Out1
90,0.054,0.010,0.990,Out1
91,0.072,0.010,0.972,Out1
92,0.010,0.010,0.963,Out1
93,0.010,0.036,0.990,Out1
94,0.010,0.066,0.990,Out1
95,0.064,0.010,0.955,Out1
96,0.010,0.081,0.990,Out1
97,0.010,0.010,0.990,Out1
98,0.014,0.010,0.990,Out1
99,0.014,0.010,0.990,Out1
100,0.087,0.051,0.975,Out1
101,0.010,0.990,0.083,Out2
102,0.020,0.990,0.010,Out2
103,0.010,0.990,0.010,Out2
104,0.010,0.990,0.010,Out2
105,0.024,0.914,0.010,Out2
106,0.010,0.990,0.086,Out2
107,0.018,0.990,0.064,Out2
108,0.032,0.988,0.047,Out2
109,0.010,0.990,0.010,Out2
110,0.095,0.956,0.010,Out2
111,0.010,0.938,0.010,Out2
112,0.010,0.990,0.010,Out2
113,0.020,0.990,0.059,Out2
114,0.010,0.990,0.042,Out2
115,0.010,0.986,0.010,Out2
116,0.010,0.990,0.072,Out2
117,0.010,0.979,0.031,Out2
118,0.017,0.990,0.010,Out2
119,0.010,0.990,0.010,Out2
120,0.010,0.915,0.019,Out2
121,0.078,0.990,0.049,Out2
122,0.010,0.959,0.072,Out2
123,0.037,0.990,0.031,Out2
124,0.032,0.981,0.072,Out2
125,0.043,0.924,0.077,Out2
126,0.058,0.900,0.010,Out2
127,0.010,0.914,0.010,Out2
128,0.010,0.937,0.010,Out2
129,0.010,0.990,0.010,Out2
130,0.010,0.990,0.072,Out2
131,0.033,0.990,0.010,Out2
132,0.010,0.990,0.066,Out2
133,0.010,0.962,0.010,Out2
134,0.010,0.990,0.031,Out2
135,0.010,0.990,0.010,Out2
136,0.010,0.974,0.010,Out2
137,0.010,0.990,0.010,Out2
138,0.010,0.990,0.010,Out2
139,0.035,0.990,0.010,Out2
140,0.032,0.990,0.051,Out2
141,0.048,0.982,0.025,Out2
142,0.010,0.902,0.010,Out2
143,0.010,0.990,0.046,Out2
144,0.010,0.978,0.010,Out2
145,0.010,0.975,0.010,Out2
146,0.010,0.990,0.050,Out2
147,0.010,0.990,0.011,Out2
148,0.010,0.982,0.010,Out2
149,0.079,0.990,0.010,Out2
150,0.010,0.962,0.094,Out2
151,0.010,0.990,0.919,Out3
152,0.010,0.990,0.914,Out3
153,0.073,0.968,0.990,Out3
154,0.010,0.990,0.963,Out3
155,0.010,0.990,0.990,Out3
156,0.097,0.990,0.985,Out3
157,0.010,0.990,0.990,Out3
158,0.031,0.979,0.955,Out3
159,0.010,0.990,0.980,Out3
160,0.010,0.990,0.924,Out3
161,0.046,0.952,0.939,Out3
162,0.010,0.990,0.990,Out3
163,0.052,0.978,0.964,Out3
164,0.010,0.939,0.990,Out3
165,0.082,0.990,0.908,Out3
166,0.010,0.906,0.990,Out3
167,0.056,0.990,0.990,Out3
168,0.010,0.990,0.990,Out3
169,0.010,0.990,0.990,Out3
170,0.031,0.990,0.954,Out3
171,0.010,0.935,0.990,Out3
172,0.091,0.913,0.990,Out3
173,0.010,0.990,0.921,Out3
174,0.010,0.939,0.990,Out3
175,0.010,0.990,0.950,Out3
176,0.010,0.902,0.990,Out3
177,0.010,0.990,0.930,Out3
178,0.010,0.915,0.990,Out3
179,0.087,0.990,0.990,Out3
180,0.010,0.902,0.952,Out3
181,0.050,0.990,0.990,Out3
182,0.069,0.970,0.919,Out3
183,0.010,0.911,0.963,Out3
184,0.030,0.990,0.941,Out3
185,0.010,0.929,0.939,Out3
186,0.010,0.966,0.990,Out3
187,0.070,0.977,0.937,Out3
188,0.075,0.913,0.914,Out3
189,0.010,0.990,0.935,Out3
190,0.068,0.945,0.990,Out3
191,0.089,0.940,0.924,Out3
192,0.010,0.907,0.901,Out3
193,0.010,0.985,0.950,Out3
194,0.083,0.990,0.985,Out3
195,0.010,0.990,0.963,Out3
196,0.010,0.990,0.923,Out3
197,0.010,0.977,0.905,Out3
198,0.052,0.941,0.990,Out3
199,0.010,0.922,0.990,Out3
200,0.087,0.990,0.980,Out3
201,0.990,0.010,0.049,Out4
202,0.990,0.091,0.010,Out4
203,0.990,0.010,0.010,Out4
204,0.929,0.072,0.030,Out4
205,0.990,0.046,0.010,Out4
206,0.958,0.083,0.010,Out4
207,0.940,0.012,0.094,Out4
208,0.967,0.010,0.010,Out4
209,0.954,0.010,0.010,Out4
210,0.990,0.010,0.035,Out4
211,0.990,0.070,0.084,Out4
212,0.990,0.010,0.088,Out4
213,0.950,0.038,0.010,Out4
214,0.990,0.010,0.016,Out4
215,0.934,0.010,0.010,Out4
216,0.990,0.010,0.025,Out4
217,0.947,0.034,0.010,Out4
218,0.990,0.010,0.010,Out4
219,0.913,0.010,0.010,Out4
220,0.990,0.010,0.010,Out4
221,0.972,0.010,0.010,Out4
222,0.990,0.076,0.045,Out4
223,0.902,0.074,0.010,Out4
224,0.990,0.010,0.010,Out4
225,0.990,0.010,0.010,Out4
226,0.949,0.089,0.010,Out4
227,0.936,0.062,0.011,Out4
228,0.990,0.010,0.010,Out4
229,0.944,0.010,0.063,Out4
230,0.990,0.078,0.010,Out4
231,0.945,0.010,0.010,Out4
232,0.902,0.010,0.080,Out4
233,0.908,0.010,0.010,Out4
234,0.961,0.059,0.010,Out4
235,0.959,0.010,0.010,Out4
236,0.990,0.010,0.057,Out4
237,0.960,0.010,0.010,Out4
238,0.946,0.010,0.010,Out4
239,0.990,0.095,0.010,Out4
240,0.953,0.010,0.041,Out4
241,0.990,0.010,0.010,Out4
242,0.990,0.010,0.010,Out4
243,0.990,0.010,0.010,Out4
244,0.957,0.027,0.039,Out4
245,0.990,0.080,0.083,Out4
246,0.942,0.071,0.010,Out4
247,0.990,0.010,0.092,Out4
248,0.990,0.064,0.074,Out4
249,0.914,0.010,0.010,Out4
250,0.938,0.047,0.010,Out4
251,0.990,0.010,0.972,Out5
252,0.990,0.010,0.990,Out5
253,0.990,0.010,0.990,Out5
254,0.990,0.082,0.960,Out5
255,0.934,0.013,0.971,Out5
256,0.990,0.071,0.939,Out5
257,0.990,0.093,0.990,Out5
258,0.990,0.056,0.943,Out5
259,0.990,0.047,0.990,Out5
260,0.944,0.010,0.990,Out5
261,0.904,0.010,0.990,Out5
262,0.990,0.010,0.990,Out5
263,0.922,0.010,0.990,Out5
264,0.990,0.010,0.990,Out5
265,0.968,0.010,0.928,Out5
266,0.990,0.010,0.990,Out5
267,0.990,0.064,0.990,Out5
268,0.990,0.017,0.913,Out5
269,0.990,0.010,0.990,Out5
270,0.970,0.031,0.967,Out5
271,0.990,0.010,0.990,Out5
272,0.990,0.010,0.921,Out5
273,0.990,0.020,0.990,Out5
274,0.990,0.010,0.990,Out5
275,0.985,0.092,0.914,Out5
276,0.928,0.098,0.970,Out5
277,0.990,0.083,0.923,Out5
278,0.990,0.041,0.990,Out5
279,0.990,0.099,0.990,Out5
280,0.938,0.025,0.990,Out5
281,0.980,0.010,0.990,Out5
282,0.990,0.010,0.990,Out5
283,0.990,0.010,0.917,Out5
284,0.915,0.010,0.990,Out5
285,0.990,0.051,0.924,Out5
286,0.990,0.039,0.956,Out5
287,0.990,0.010,0.927,Out5
288,0.982,0.029,0.979,Out5
289,0.990,0.010,0.964,Out5
290,0.920,0.010,0.990,Out5
291,0.914,0.010,0.990,Out5
292,0.910,0.033,0.976,Out5
293,0.990,0.041,0.979,Out5
294,0.987,0.047,0.943,Out5
295,0.990,0.058,0.990,Out5
296,0.900,0.010,0.940,Out5
297,0.990,0.066,0.953,Out5
298,0.968,0.018,0.990,Out5
299,0.990,0.017,0.935,Out5
300,0.923,0.010,0.934,Out5
301,0.990,0.990,0.010,Out6
302,0.980,0.990,0.010,Out6
303,0.990,0.990,0.067,Out6
304,0.990,0.990,0.010,Out6
305,0.959,0.990,0.010,Out6
306,0.953,0.966,0.010,Out6
307,0.934,0.990,0.010,Out6
308,0.990,0.922,0.010,Out6
309,0.990,0.990,0.010,Out6
310,0.907,0.990,0.010,Out6
311,0.990,0.990,0.064,Out6
312,0.906,0.961,0.010,Out6
313,0.990,0.990,0.010,Out6
314,0.926,0.990,0.010,Out6
315,0.934,0.990,0.010,Out6
316,0.990,0.990,0.010,Out6
317,0.990,0.951,0.010,Out6
318,0.910,0.990,0.010,Out6
319,0.990,0.990,0.049,Out6
320,0.990,0.990,0.010,Out6
321,0.990,0.990,0.067,Out6
322,0.990,0.990,0.010,Out6
323,0.990,0.958,0.010,Out6
324,0.957,0.990,0.010,Out6
325,0.926,0.990,0.010,Out6
326,0.932,0.990,0.010,Out6
327,0.933,0.990,0.010,Out6
328,0.988,0.990,0.079,Out6
329,0.990,0.990,0.044,Out6
330,0.905,0.963,0.031,Out6
331,0.990,0.990,0.029,Out6
332,0.965,0.981,0.010,Out6
333,0.962,0.904,0.074,Out6
334,0.990,0.990,0.079,Out6
335,0.990,0.990,0.051,Out6
336,0.971,0.990,0.010,Out6
337,0.947,0.990,0.027,Out6
338,0.919,0.990,0.010,Out6
339,0.925,0.990,0.071,Out6
340,0.990,0.990,0.010,Out6
341,0.990,0.943,0.010,Out6
342,0.990,0.990,0.019,Out6
343,0.990,0.933,0.010,Out6
344,0.990,0.990,0.010,Out6
345,0.976,0.947,0.010,Out6
346,0.990,0.990,0.026,Out6
347,0.915,0.941,0.030,Out6
348,0.990,0.990,0.054,Out6
349,0.952,0.916,0.010,Out6
350,0.990,0.990,0.010,Out6
